datediff,longitude,latitude,Mg
0.07 ,122.3,24,5.2
0.13 ,121.5,22.1,6
0.53 ,121.4,22.4,5.3
0.40 ,121.6,23.8,5.3
0.93 ,122.3,23.9,5.4
0.43 ,122.9,23.8,5.2
2.07 ,122.5,23.6,5.8
4.77 ,122.2,23.8,5.4
0.03 ,120.6,23.6,5
3.87 ,122.5,24.1,5.8
0.30 ,121,23.5,5
1.40 ,122.7,23.9,5.2
1.90 ,121,24,5.3
0.53 ,122.4,24.3,5.5
0.03 ,121.6,23.9,7.2
0.07 ,121.7,23.9,5
0.53 ,121.7,24.1,5.3
0.53 ,122.5,24.5,6
0.20 ,121.8,24.1,5
1.60 ,123,23.7,5
1.87 ,121.8,24,5.2
0.83 ,122.7,24.6,6
0.33 ,121.7,23.3,5
0.97 ,121.9,24,5.5
0.87 ,121.7,24,5.2
0.10 ,121.4,23.3,5.4
0.17 ,121.6,23.7,6.8
0.00 ,121,21.6,5.3
1.43 ,121,21.4,5
1.57 ,121.7,23.5,5.4
0.47 ,121.72,23.62,6.1
0.43 ,122.8,24.3,5.3
0.40 ,120.3,21,5.3
0.27 ,121.9,23.2,5.5
0.13 ,124.4,25.1,7
1.23 ,122,22.8,5.8
1.00 ,121.7,24.1,5.2
0.33 ,121,22,5.3
1.23 ,122,24.9,5.8
0.40 ,122.4,23.7,5.2
1.07 ,123.7,25.3,5.2
2.03 ,122.5,24.1,5.5
0.40 ,122.1,24.1,5
4.90 ,122.5,24.6,5.9
0.20 ,121.5,22.5,5
0.30 ,121.9,24.3,5.1
0.50 ,122.4,24.1,5.3
1.20 ,122.7,24.78,7.5
0.00 ,120.9,21,6
0.00 ,121.2,21,6.5
0.03 ,121.4,21.3,6
2.43 ,121.9,23.2,5.3
0.03 ,121.13,22.18,7
0.03 ,121.4,22.1,6
0.00 ,121.3,22.4,5.5
0.00 ,121.5,22.8,5.4
0.00 ,121.1,22.5,5.5
0.03 ,121.2,22.5,5.5
0.00 ,121.6,21.4,5.5
0.03 ,121.8,22.2,6.5
1.23 ,121,21.5,5
0.00 ,121.43,22.1,6.7
2.00 ,121.5,22.1,5.2
0.77 ,122.7,24.8,5.3
0.87 ,120.7,21.4,5.3
1.40 ,122.3,23.4,5.5
0.10 ,121.6,23.5,5.8
0.33 ,122.5,23.8,5.3
1.13 ,122.2,23.8,5.3
1.17 ,121.7,24.3,5
0.47 ,122,24.2,5.3
3.23 ,124.5,25.5,5.5
5.17 ,122.1,24.2,5
0.63 ,122.8,24.2,6.2
1.47 ,125.7,25.9,6
0.03 ,122.2,24.1,6.5
1.13 ,122.3,24.1,5
0.30 ,122.4,25.5,6
0.77 ,122.4,24.1,5
0.97 ,121.7,23.5,5
0.20 ,122.7,23.1,5.2
0.80 ,123.1,24.8,5
1.17 ,121.9,24.4,5.7
0.37 ,122.2,24.1,6.3
0.27 ,124.7,26.3,5.8
1.47 ,121.7,24.1,5.5
0.47 ,121.8,23.9,5.5
1.10 ,123,25,5.9
0.63 ,121.9,24.6,5
1.20 ,121.9,24.7,5.3
0.30 ,125.1,25.6,5.5
1.13 ,120.6,23.2,5.2
2.43 ,122.4,24.6,5.1
1.57 ,122.7,24.1,6.5
0.40 ,123.3,25.2,6.5
0.67 ,120.9,22.9,5.2
0.83 ,121.3,23.8,5.2
0.07 ,122,24.4,5
0.00 ,121.9,24.4,6.5
0.10 ,121.8,24.1,6
1.27 ,121.8,24.2,5.1
0.27 ,122.6,24.3,5
2.60 ,123,25.1,6.3
0.00 ,122.2,24.4,7
0.00 ,122.1,24.4,5.5
0.27 ,121.7,24.8,5.4
0.17 ,122.1,24.6,5.4
0.20 ,123.2,24.2,5.7
0.20 ,121.9,24.5,6
1.33 ,122.2,24.7,6.1
0.07 ,122.5,24.4,5
0.20 ,122.37,24.22,6
0.50 ,122.7,24.1,5.1
0.97 ,122.4,24.1,5.6
1.00 ,122.2,23.6,5.4
0.10 ,122.7,24.1,5
0.37 ,122.5,24.2,5.4
1.73 ,122.1,24.6,6.2
0.07 ,121.2,22,5.6
0.57 ,120.5,22.2,5
1.03 ,121.3,22.5,5.1
0.77 ,122.9,24.1,5
0.13 ,121.6,22.7,5.2
1.17 ,122.5,23.4,5.4
0.47 ,121.8,21.8,5
0.03 ,120.6,23.2,7
0.03 ,120.8,21.8,5.6
0.20 ,120.6,23.4,5
0.23 ,120.3,23.1,5
0.50 ,122.48,24.2,5.8
0.80 ,120.6,23.1,5
0.57 ,121.7,23.5,5.2
2.00 ,121.7,22.3,5.3
0.23 ,122,24.4,5.6
0.50 ,122.2,24.5,5.1
1.50 ,121.2,22.7,5.6
0.87 ,121.2,22.6,5.9
0.77 ,120.8,23.6,5.2
1.83 ,121.7,24,5.2
0.37 ,122.3,24,5.5
0.00 ,122,24.9,6.3
1.20 ,122.2,24.9,5
0.50 ,121.3,23.6,5.2
1.47 ,121.8,23.4,5.1
0.00 ,121.2,21.1,5.2
0.47 ,121.2,21.2,5
1.03 ,121.2,22.6,5.7
0.40 ,122.8,25,5.3
0.00 ,120.7,21,6.1
0.70 ,120.8,22.2,5
1.00 ,121.3,22.5,6.8
0.33 ,123.2,24.1,5
0.03 ,121.7,23.7,6
1.53 ,121.6,23.7,5.3
0.27 ,122.3,24,5.1
0.53 ,122.3,24.1,5
0.30 ,121.2,21.3,5.6
0.63 ,124.8,25.5,5
1.57 ,121.5,23.5,5.3
0.53 ,122,23.6,5.6
1.53 ,121.8,24,5.1
0.47 ,121.4,22.9,5
0.00 ,121.9,24.1,5.2
0.00 ,121.7,24.3,5.5
0.87 ,121.9,24.2,5.4
0.37 ,122.6,24.4,5
0.00 ,122.7,24.2,7.8
0.00 ,122.6,24.2,5.5
0.00 ,122.9,23.9,5.1
0.10 ,122.4,24.2,5
0.10 ,122.7,24.2,5.3
0.13 ,122.5,23.7,5.8
1.43 ,123,23.9,6.2
0.03 ,122.5,24.3,6.3
0.20 ,122.9,23.7,5.1
0.53 ,122.4,24.3,5
0.27 ,122.6,24.3,5.8
0.07 ,122.4,24.7,5.1
0.03 ,122.6,24.3,5.2
0.10 ,120.7,22.8,5.2
0.63 ,120.1,23.6,5.9
0.00 ,122.6,24.2,5
0.03 ,122.2,24.3,5.3
2.57 ,122.6,24.9,6.1
0.00 ,121.4,22.9,6
2.20 ,121.3,22.8,5
2.27 ,122.6,24.4,5
0.87 ,121.9,24.7,5
0.30 ,122.6,24.3,5.2
1.47 ,121.9,21.4,6.1
1.00 ,122.1,25,5.2
1.30 ,122.2,24.4,5.1
1.27 ,121.7,23.9,5
1.50 ,121.6,23.5,5.2
1.07 ,120.7,24.1,5
0.23 ,123,23.8,5.2
0.00 ,122.3,24.4,6.7
0.03 ,122.2,24.3,5.4
0.30 ,122.5,24.2,5.9
0.43 ,122.3,24.4,5.1
1.90 ,122.2,24,5.1
0.47 ,122.4,24,6.2
